"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7487","should show validation errors when submitting empty user form @regression","Chromium","Sun Mar 29 01:33:58 CET 2026","passed","Sun Mar 29 01:34:05 CET 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","3703","should display error with empty password @regression","Chromium","Sun Mar 29 01:33:05 CET 2026","passed","Sun Mar 29 01:33:09 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","6533","should display profile icon on home page @smoke @regression","Chromium","Sun Mar 29 01:32:55 CET 2026","passed","Sun Mar 29 01:33:01 CET 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","2478","should toggle password visibility @regression","Chromium","Sun Mar 29 01:33:28 CET 2026","passed","Sun Mar 29 01:33:31 CET 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","8429","should load home page after successful login @smoke","Chromium","Sun Mar 29 01:32:46 CET 2026","passed","Sun Mar 29 01:32:54 CET 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","4054","should display error with empty username @regression","Chromium","Sun Mar 29 01:33:01 CET 2026","passed","Sun Mar 29 01:33:05 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","21234","should edit an existing user name and verify the change @regression","Chromium","Sun Mar 29 01:34:05 CET 2026","failed","Sun Mar 29 01:34:26 CET 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","2898","should display error with invalid credentials @regression","Chromium","Sun Mar 29 01:33:09 CET 2026","passed","Sun Mar 29 01:33:12 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","19361","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Sun Mar 29 01:33:18 CET 2026","failed","Sun Mar 29 01:33:38 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","21146","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Sun Mar 29 01:33:02 CET 2026","passed","Sun Mar 29 01:33:24 CET 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","16066","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Sun Mar 29 01:32:46 CET 2026","passed","Sun Mar 29 01:33:02 CET 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","27936","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Sun Mar 29 01:32:46 CET 2026","failed","Sun Mar 29 01:33:14 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","3320","should have all required login elements visible @smoke","Chromium","Sun Mar 29 01:33:12 CET 2026","passed","Sun Mar 29 01:33:15 CET 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","13159","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Sun Mar 29 01:32:46 CET 2026","passed","Sun Mar 29 01:32:59 CET 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","7899","should search for a non-existent template and verify no results @regression","Chromium","Sun Mar 29 01:33:02 CET 2026","passed","Sun Mar 29 01:33:10 CET 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","6650","should have all required appointment access elements visible @smoke","Chromium","Sun Mar 29 01:33:19 CET 2026","passed","Sun Mar 29 01:33:25 CET 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","16533","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Sun Mar 29 01:32:46 CET 2026","passed","Sun Mar 29 01:33:03 CET 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","11987","should create and delete an institution, then verify it no longer appears @regression","Chromium","Sun Mar 29 01:33:11 CET 2026","passed","Sun Mar 29 01:33:23 CET 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","8181","should search for a non-existent user and verify no results @regression","Chromium","Sun Mar 29 01:33:39 CET 2026","passed","Sun Mar 29 01:33:47 CET 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","9966","should search for a non-existent tag and verify no results @regression","Chromium","Sun Mar 29 01:32:59 CET 2026","passed","Sun Mar 29 01:33:09 CET 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","10579","should create a user, search by name, and verify result @regression","Chromium","Sun Mar 29 01:33:47 CET 2026","passed","Sun Mar 29 01:33:58 CET 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","13848","should create and delete a template, then verify it no longer appears @regression","Chromium","Sun Mar 29 01:33:10 CET 2026","passed","Sun Mar 29 01:33:24 CET 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","16189","should create a new template and verify it appears in the list @smoke @regression","Chromium","Sun Mar 29 01:32:46 CET 2026","passed","Sun Mar 29 01:33:02 CET 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
